codice,aeroporto_partenza,numero_voli,ritardo_minimo,ritardo_massimo,ritardo_medio,tasso_cancellazione,mese
9E,ABE,19,2.0,27.0,2.89,0.00,4
9E,ABE,21,24.0,348.0,22.48,0.00,8
9E,ABE,30,2.0,51.0,11.03,0.00,12
9E,ABY,4,0.0,-6.0,0.0,0.00,12
9E,AEX,11,4.0,105.0,14.64,0.00,4
9E,AEX,20,1.0,214.0,20.5,0.00,8
9E,AEX,12,0.0,-2.0,0.0,0.00,12
9E,AGS,19,11.0,180.0,24.21,0.00,1
9E,AGS,39,1.0,163.0,10.95,0.00,5
9E,AGS,34,1.0,292.0,16.21,0.00,9
9E,ALB,24,6.0,301.0,17.33,0.00,3
9E,ALB,15,4.0,374.0,28.13,0.00,7
9E,ALB,25,8.0,94.0,4.08,0.00,11
9E,ATL,626,1.0,671.0,20.68,0.00,1
9E,ATL,461,1.0,238.0,10.11,0.00,5
9E,ATL,551,1.0,867.0,10.49,0.00,9
9E,ATW,2,0.0,-7.0,0.0,0.00,4
9E,ATW,3,0.0,-8.0,0.0,0.00,8
9E,AUS,18,13.0,60.0,8.11,0.00,3
9E,AUS,4,2.0,39.0,10.25,0.00,7
9E,AVL,11,6.0,22.0,2.55,0.00,3
9E,AVL,11,0.0,-9.0,0.0,0.00,7
9E,AVL,6,2.0,2.0,0.33,0.00,11
9E,BDL,7,12.0,24.0,5.14,0.00,2
9E,BDL,7,12.0,72.0,12.0,0.00,6
9E,BDL,1,0.0,-16.0,0.0,0.00,10
9E,BGM,11,3.0,26.0,5.27,0.00,4
9E,BGM,11,1.0,32.0,4.27,0.00,8
9E,BGM,4,145.0,145.0,36.25,0.00,12
9E,BGR,19,4.0,261.0,31.89,0.00,1
9E,BGR,21,4.0,79.0,10.95,0.00,5
9E,BGR,22,17.0,17.0,0.77,0.00,9
9E,BHM,20,13.0,26.0,3.6,0.00,3
9E,BHM,19,4.0,117.0,12.37,0.00,7
9E,BHM,11,1.0,1.0,0.09,0.00,11
9E,BIS,1,0.0,-7.0,0.0,0.00,8
9E,BMI,12,5.0,24.0,4.33,0.00,2
9E,BMI,9,0.0,-7.0,0.0,0.00,6
9E,BMI,14,0.0,-2.0,0.0,0.00,10
9E,BNA,24,4.0,227.0,23.92,0.00,1
9E,BNA,36,2.0,277.0,23.44,0.00,5
9E,BNA,21,53.0,214.0,20.05,0.00,9
9E,BQK,3,3.0,16.0,6.33,0.00,4
9E,BQK,8,27.0,508.0,66.88,0.00,12
9E,BTR,6,6.0,6.0,1.0,0.00,8
9E,BTR,22,14.0,213.0,14.23,0.00,12
9E,BTV,32,5.0,312.0,13.72,0.00,4
9E,BTV,39,1.0,262.0,27.21,0.00,8
9E,BTV,33,4.0,176.0,20.09,0.00,12
9E,BUF,29,3.0,62.0,6.03,0.00,3
9E,BUF,29,2.0,203.0,23.24,0.00,7
9E,BUF,47,2.0,165.0,5.09,0.00,11
9E,BWI,15,24.0,24.0,1.6,0.00,4
9E,BWI,15,13.0,139.0,24.8,0.00,8
9E,CAE,19,10.0,64.0,4.58,0.00,3
9E,CAE,23,4.0,316.0,50.57,0.00,7
9E,CAE,33,3.0,65.0,9.42,0.00,11
9E,CHA,24,3.0,172.0,19.46,0.00,4
9E,CHA,26,3.0,95.0,13.23,0.00,8
9E,CHA,66,2.0,200.0,12.88,0.00,12
9E,CHO,33,6.0,320.0,20.73,0.00,2
9E,CHO,20,5.0,1063.0,58.75,0.00,6
9E,CHO,29,9.0,74.0,8.59,0.00,10
9E,CHS,38,1.0,149.0,10.74,0.00,2
9E,CHS,55,3.0,348.0,18.15,0.00,6
9E,CHS,27,8.0,127.0,6.48,0.00,10
9E,CID,4,11.0,11.0,2.75,0.00,10
9E,CLE,37,5.0,62.0,4.7,0.00,4
9E,CLE,41,3.0,898.0,39.15,0.00,8
9E,CLE,53,1.0,90.0,5.51,0.00,12
9E,CLT,56,4.0,671.0,25.46,0.00,3
9E,CLT,76,4.0,288.0,35.92,0.00,7
9E,CLT,53,4.0,162.0,11.68,0.00,11
9E,CMH,1,0.0,-12.0,0.0,0.00,6
9E,CRW,11,2.0,40.0,7.0,0.00,4
9E,CRW,4,18.0,22.0,10.0,0.00,12
9E,CSG,1,0.0,-24.0,0.0,0.00,3
9E,CSG,23,2.0,205.0,22.57,0.00,7
9E,CSG,24,4.0,57.0,4.29,0.00,11
9E,CVG,149,1.0,451.0,12.35,0.00,4
9E,CVG,98,1.0,198.0,15.19,0.00,8
