ac.aeroporto_partenza,ac.compagnia,ac.numero_voli,ac.ritardo_medio_partenza,ac.ritardo_medio_arrivo,ac.tasso_cancellazione,differenza,classifica
ABE,9E,706,10.53,3.57,1.42,-3.7,1
ABE,G4,1235,11.59,6.12,1.46,-2.64,2
ABE,OH,758,18.21,9.47,1.58,3.98,3
ABE,OO,213,28.26,22.67,5.16,14.03,4
ABI,MQ,1340,7.27,4.47,0.75,0.0,1
ABQ,OO,2965,1.75,-1.95,0.54,-7.31,1
ABQ,DL,1112,2.01,-4.7,1.08,-7.05,2
ABQ,MQ,661,4.4,2.66,0.61,-4.66,3
ABQ,UA,1391,6.28,0.67,1.08,-2.78,4
ABQ,AS,311,6.78,4.09,1.29,-2.28,5
ABQ,NK,414,9.8,6.11,0.97,0.74,6
ABQ,WN,8648,10.52,4.44,0.50,1.46,7
ABQ,AA,2244,17.24,14.58,1.92,8.18,8
ABQ,B6,171,45.59,42.36,2.34,36.53,9
ABR,OO,524,20.91,13.63,0.76,0.0,1
ABY,9E,27,11.96,6.11,0.00,-6.14,1
ABY,OO,557,18.4,17.68,0.90,0.3,2
ACK,B6,704,13.1,10.36,3.27,-1.14,1
ACK,YX,449,14.92,16.29,8.69,0.68,2
ACK,MQ,14,26.43,28.21,0.00,12.19,3
ACK,OO,17,34.75,23.0,5.88,20.51,4
ACT,OO,575,15.4,15.2,2.61,-1.24,1
ACT,MQ,264,19.32,18.85,1.52,2.68,2
ACV,OO,1293,21.89,20.27,1.93,0.0,1
ACY,NK,2185,11.05,5.08,1.92,0.0,1
ADK,AS,63,10.54,9.96,9.52,0.0,1
ADQ,AS,603,1.97,0.68,1.49,0.0,1
AEX,9E,633,13.87,8.92,0.63,-2.14,1
AEX,OO,793,17.35,13.58,2.65,1.34,2
AEX,MQ,27,27.11,27.15,0.00,11.1,3
AGS,MQ,141,9.08,2.52,2.84,-7.13,1
AGS,9E,1207,11.68,6.19,2.15,-4.53,2
AGS,YX,24,13.79,3.38,0.00,-2.42,3
AGS,OH,1142,18.81,17.58,3.06,2.6,4
AGS,DL,114,21.29,15.79,0.00,5.08,5
AGS,OO,318,24.77,17.88,1.26,8.56,6
AGS,AA,16,32.13,30.38,0.00,15.92,7
AKN,AS,116,-5.5,-2.04,0.86,0.0,1
ALB,MQ,126,3.71,2.93,0.00,-9.79,1
ALB,9E,770,5.39,-3.82,2.60,-8.11,2
ALB,YX,230,5.84,2.66,1.74,-7.66,3
ALB,OO,598,6.65,3.05,0.33,-6.85,4
ALB,UA,537,7.03,4.83,1.49,-6.47,5
ALB,WN,2659,11.27,3.9,0.90,-2.23,6
ALB,DL,930,13.4,5.33,1.40,-0.1,7
ALB,OH,831,19.21,17.9,3.25,5.71,8
ALB,B6,531,20.43,16.06,1.32,6.93,9
ALB,AA,1054,21.09,16.39,0.76,7.59,10
ALB,G4,380,30.63,22.81,1.58,17.13,11
ALW,OO,406,0.71,3.23,3.45,0.0,1
AMA,MQ,1567,8.17,5.93,1.47,-1.31,1
AMA,WN,1438,8.18,2.26,0.56,-1.3,2
AMA,OO,624,14.14,12.05,1.92,4.66,3
AMA,AA,154,16.37,15.83,2.60,6.89,4
ANC,AS,10383,4.1,1.98,1.61,-3.08,1
ANC,UA,890,13.83,5.45,2.58,6.65,2
ANC,DL,1598,16.21,9.02,0.94,9.03,3
ANC,AA,347,40.16,30.45,0.58,32.98,4
APN,OO,462,20.23,14.86,2.81,0.0,1
ASE,OO,5574,29.6,25.46,7.05,0.0,1
ATL,9E,20198,6.51,2.4,1.05,-4.53,1
ATL,YX,903,8.33,6.16,1.55,-2.71,2
ATL,DL,169705,9.23,5.5,0.87,-1.81,3
ATL,AS,1015,9.95,6.44,2.17,-1.09,4
ATL,MQ,495,12.56,10.06,1.62,1.52,5
ATL,WN,25025,12.68,6.67,0.66,1.64,6
ATL,UA,5409,13.72,8.69,1.72,2.68,7
ATL,OH,1787,17.08,14.46,1.62,6.04,8
ATL,AA,5677,20.2,16.59,1.81,9.16,9
ATL,NK,7543,20.55,13.98,1.86,9.51,10
ATL,OO,6134,20.8,17.41,0.86,9.76,11
ATL,B6,2242,22.63,18.42,1.61,11.59,12
ATL,F9,8612,25.95,21.89,2.64,14.91,13
ATW,G4,820,9.61,5.5,2.20,-8.22,1
ATW,9E,126,11.38,9.29,0.00,-6.45,2
ATW,DL,250,12.8,5.42,0.80,-5.03,3
ATW,MQ,526,17.84,11.69,1.52,0.01,4
ATW,OO,2704,21.09,18.0,2.07,3.26,5
AUS,YX,88,2.39,-1.32,0.00,-12.2,1
AUS,UA,7039,10.84,5.6,1.26,-3.75,2
AUS,AS,2062,11.43,9.0,2.72,-3.16,3
AUS,OH,17,11.59,4.53,0.00,-3.0,4
AUS,WN,28044,11.97,5.92,0.67,-2.62,5
AUS,MQ,1690,14.43,12.51,1.42,-0.16,6
AUS,DL,8116,14.84,8.09,0.81,0.25,7
AUS,9E,281,15.35,14.33,0.36,0.76,8
AUS,NK,797,19.04,12.45,2.38,4.45,9
AUS,AA,10223,20.55,17.47,1.57,5.96,10
AUS,G4,810,21.62,18.55,2.10,7.03,11
AUS,F9,510,21.7,18.38,1.96,7.11,12
AUS,OO,2700,21.85,17.8,0.37,7.26,13
AUS,HA,132,24.87,28.93,0.76,10.28,14
AUS,B6,567,33.89,26.36,1.06,19.3,15
AVL,YX,814,9.78,5.4,4.79,-7.26,1
AVL,UA,145,10.67,5.47,3.45,-6.37,2
AVL,OH,1483,11.64,12.2,2.56,-5.4,3
AVL,9E,464,11.78,4.21,1.94,-5.26,4
AVL,DL,1639,13.75,5.35,2.68,-3.29,5
AVL,OO,505,17.66,16.12,4.36,0.62,6
AVL,G4,2383,18.8,15.58,3.15,1.76,7
AVL,MQ,860,24.49,22.96,2.79,7.45,8
AVL,B6,59,27.16,26.24,1.69,10.12,9
AVL,AA,354,49.45,44.2,5.93,32.41,10
AVP,OO,26,10.08,3.17,7.69,-8.87,1
AVP,MQ,339,14.5,10.43,1.47,-4.45,2
AVP,AA,600,20.43,15.93,1.50,1.48,3
AVP,OH,160,24.18,12.42,1.88,5.23,4
AZA,G4,4147,5.78,1.08,0.75,0.0,1
