codice,aeroporto_partenza,numero_voli,ritardo_minimo,ritardo_massimo,ritardo_medio,tasso_cancellazione,mese
9E,ABE,35,1.0,438.0,32.37,0.0,1
9E,ABE,34,1.0,70.0,6.53,2.94,2
9E,ABE,35,3.0,75.0,3.17,0.0,3
9E,ABE,37,2.0,438.0,13.57,0.0,4
9E,ABE,39,2.0,182.0,11.1,0.0,5
9E,ABE,58,2.0,169.0,13.0,1.72,6
9E,ABE,54,1.0,201.0,18.15,3.7,7
9E,ABE,46,8.0,348.0,20.72,0.0,8
9E,ABE,40,8.0,144.0,5.93,0.0,9
9E,ABE,44,1.0,262.0,11.84,0.0,10
9E,ABE,38,4.0,341.0,13.76,0.0,11
9E,ABE,44,2.0,166.0,14.82,4.55,12
9E,ABY,1,43.0,43.0,43.0,0.0,1
9E,ABY,2,7.0,321.0,164.0,0.0,2
9E,ABY,1,2.0,2.0,2.0,0.0,3
9E,ABY,2,0.0,-11.0,0.0,0.0,11
9E,ABY,8,12.0,12.0,1.5,0.0,12
9E,AEX,27,10.0,177.0,24.07,0.0,1
9E,AEX,30,2.0,120.0,6.23,0.0,2
9E,AEX,35,2.0,16.0,0.8,0.0,3
9E,AEX,25,2.0,234.0,16.44,0.0,4
9E,AEX,26,3.0,270.0,20.31,0.0,5
9E,AEX,29,1.0,516.0,25.28,0.0,6
9E,AEX,47,4.0,230.0,16.81,2.13,7
9E,AEX,46,1.0,294.0,21.41,2.17,8
9E,AEX,37,1.0,236.0,16.08,0.0,9
9E,AEX,42,4.0,101.0,7.19,0.0,10
9E,AEX,40,3.0,161.0,11.95,0.0,11
9E,AEX,29,2.0,43.0,5.07,3.45,12
9E,AGS,33,11.0,784.0,67.55,0.0,1
9E,AGS,36,4.0,109.0,8.11,0.0,2
9E,AGS,69,1.0,343.0,11.72,0.0,3
9E,AGS,68,1.0,146.0,9.51,0.0,4
9E,AGS,80,1.0,526.0,20.64,0.0,5
9E,AGS,71,3.0,35.0,2.17,0.0,6
9E,AGS,98,2.0,1091.0,35.76,10.2,7
9E,AGS,86,2.0,102.0,5.01,4.65,8
9E,AGS,63,1.0,292.0,12.25,7.94,9
9E,AGS,78,1.0,261.0,10.62,0.0,10
9E,AGS,41,9.0,132.0,7.17,0.0,11
9E,AGS,69,3.0,134.0,10.97,1.45,12
9E,ALB,49,3.0,101.0,11.08,10.2,1
9E,ALB,32,4.0,43.0,1.84,6.25,2
9E,ALB,52,6.0,301.0,9.87,0.0,3
9E,ALB,54,1.0,112.0,6.04,0.0,4
9E,ALB,47,1.0,155.0,4.77,0.0,5
9E,ALB,31,2.0,137.0,15.1,6.45,6
9E,ALB,30,4.0,374.0,14.5,13.33,7
9E,ALB,46,3.0,253.0,14.37,6.52,8
9E,ALB,30,4.0,54.0,2.7,0.0,9
9E,ALB,34,2.0,394.0,16.26,0.0,10
9E,ALB,46,1.0,94.0,3.09,0.0,11
9E,ALB,41,2.0,247.0,14.34,0.0,12
9E,ATL,1247,1.0,951.0,23.63,2.49,1
9E,ATL,988,1.0,860.0,5.54,0.0,2
9E,ATL,1111,1.0,1207.0,7.09,0.0,3
9E,ATL,1012,1.0,616.0,6.96,0.1,4
9E,ATL,892,1.0,548.0,11.0,0.56,5
9E,ATL,963,1.0,147.0,5.8,0.1,6
9E,ATL,954,1.0,808.0,21.62,5.45,7
9E,ATL,976,1.0,665.0,7.46,2.36,8
9E,ATL,1114,1.0,983.0,9.85,2.06,9
9E,ATL,1280,1.0,768.0,4.61,0.0,10
9E,ATL,1268,1.0,991.0,5.92,0.16,11
9E,ATL,1728,1.0,1198.0,14.48,0.58,12
9E,ATW,8,24.0,116.0,20.75,0.0,1
9E,ATW,8,0.0,-7.0,0.0,0.0,4
9E,ATW,34,5.0,62.0,6.71,0.0,5
9E,ATW,18,2.0,420.0,65.0,0.0,6
9E,ATW,3,34.0,34.0,11.33,0.0,7
9E,ATW,4,33.0,33.0,8.25,0.0,8
9E,ATW,2,115.0,115.0,57.5,0.0,9
9E,ATW,4,0.0,-11.0,0.0,0.0,10
9E,AUS,24,1.0,469.0,41.25,0.0,1
9E,AUS,27,2.0,57.0,8.19,0.0,2
9E,AUS,36,1.0,60.0,5.5,0.0,3
9E,AUS,38,1.0,102.0,11.24,0.0,4
9E,AUS,28,1.0,142.0,8.11,0.0,5
9E,AUS,30,2.0,1225.0,53.17,0.0,6
9E,AUS,5,2.0,258.0,59.8,20.0,7
9E,AUS,1,0.0,-18.0,0.0,0.0,11
9E,AVL,27,2.0,207.0,14.37,0.0,1
9E,AVL,11,463.0,463.0,42.09,0.0,2
9E,AVL,17,2.0,22.0,1.76,0.0,3
9E,AVL,24,3.0,89.0,6.96,0.0,4
9E,AVL,30,1.0,835.0,50.57,0.0,5
9E,AVL,25,2.0,195.0,18.72,4.0,6
9E,AVL,30,3.0,359.0,21.53,3.33,7
9E,AVL,27,9.0,105.0,10.52,3.7,8
9E,AVL,24,3.0,14.0,0.71,20.83,9
9E,AVL,26,1.0,72.0,6.19,0.0,10
9E,AVL,17,2.0,949.0,64.0,0.0,11
9E,AVL,50,4.0,119.0,8.02,0.0,12
9E,AZO,8,1.0,1.0,0.13,0.0,1
9E,BDL,26,1.0,170.0,24.35,3.85,1
9E,BDL,21,1.0,24.0,3.38,4.76,2
9E,BDL,24,1.0,279.0,17.92,0.0,3
9E,BDL,26,13.0,40.0,2.62,0.0,4
9E,BDL,18,62.0,62.0,3.44,0.0,5
9E,BDL,14,12.0,72.0,8.57,0.0,6
