aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardi_alto,cause_maggiori
ABE,1,52,6,12,"['Weather (1145 min)', 'Carrier (1122 min)', 'Late Aircraft (711 min)']"
ABE,2,50,4,3,"['NAS (430 min)', 'Carrier (169 min)', 'Late Aircraft (89 min)']"
ABE,3,79,9,5,"['Late Aircraft (873 min)', 'NAS (127 min)', 'Carrier (99 min)']"
ABE,4,60,6,3,"['NAS (298 min)', 'Carrier (178 min)', 'Late Aircraft (80 min)']"
ABE,5,76,4,12,"['Late Aircraft (1368 min)', 'Carrier (395 min)', 'NAS (241 min)']"
ABE,6,71,9,10,"['NAS (668 min)', 'Late Aircraft (657 min)', 'Carrier (331 min)']"
ABE,7,80,13,8,"['Late Aircraft (600 min)', 'Carrier (355 min)', 'NAS (241 min)']"
ABE,8,74,10,6,"['Late Aircraft (634 min)', 'Carrier (497 min)', 'NAS (157 min)']"
ABE,9,57,9,5,"['Late Aircraft (523 min)', 'Weather (267 min)', 'Carrier (137 min)']"
ABE,10,71,6,4,"['Carrier (313 min)', 'Late Aircraft (305 min)', 'NAS (125 min)']"
ABE,11,53,4,2,"['Carrier (188 min)', 'Late Aircraft (144 min)', 'NAS (18 min)']"
ABE,12,63,12,4,"['Carrier (498 min)', 'Late Aircraft (313 min)', 'NAS (284 min)']"
ABI,1,32,2,4,"['Late Aircraft (292 min)', 'Carrier (70 min)', 'NAS (41 min)']"
ABI,2,33,3,1,"['Weather (88 min)', 'Late Aircraft (80 min)', 'Carrier (47 min)']"
ABI,3,32,7,5,"['Late Aircraft (623 min)', 'NAS (151 min)', 'Weather (135 min)']"
ABI,4,28,4,1,"['Weather (198 min)', 'Late Aircraft (60 min)', 'NAS (23 min)']"
ABI,5,19,5,5,"['Late Aircraft (663 min)', 'Carrier (90 min)', 'NAS (81 min)']"
ABI,6,27,6,4,"['Carrier (307 min)', 'Late Aircraft (145 min)', 'Weather (121 min)']"
ABI,7,35,5,1,"['Late Aircraft (109 min)', 'Carrier (99 min)', 'NAS (42 min)']"
