aeroporto_partenza,mese,numero_ritardi_basso,numero_ritardi_medio,numero_ritardo_alto,cause_maggiori
ABE,3,206,23,19,['Carrier (1388 min)', 'Late Aircraft (1267 min)', 'NAS (837 min)']
ABE,4,194,24,22,['Carrier (3991 min)', 'Late Aircraft (1977 min)', 'NAS (836 min)']
ABI,8,99,9,2,['Late Aircraft (294 min)', 'NAS (76 min)', 'Carrier (71 min)']
ABI,11,91,5,5,['Weather (235 min)', 'Carrier (217 min)', 'Late Aircraft (178 min)']
ABQ,10,1546,150,58,['Late Aircraft (4489 min)', 'Carrier (4068 min)', 'NAS (1989 min)']
ABQ,11,1302,136,57,['Late Aircraft (5138 min)', 'NAS (4350 min)', 'Carrier (3772 min)']
ABR,1,37,4,4,['Weather (302 min)', 'Carrier (241 min)', 'NAS (8 min)']
ABR,2,29,1,2,['Weather (609 min)', 'Carrier (31 min)', 'NAS (0 min)']
ABR,3,23,2,7,['Carrier (988 min)', 'Weather (212 min)', 'NAS (0 min)']
ABR,4,41,1,3,['Carrier (688 min)', 'Weather (344 min)', 'NAS (0 min)']
ABR,7,38,6,6,['Carrier (725 min)', 'NAS (180 min)', 'Weather (85 min)']
ABY,1,38,4,5,['Carrier (1310 min)', 'Weather (324 min)', 'NAS (28 min)']
ABY,7,25,5,10,['Carrier (1774 min)', 'Weather (368 min)', 'NAS (67 min)']
ABY,12,44,5,10,['Carrier (2064 min)', 'Weather (251 min)', 'NAS (71 min)']
ACK,8,251,27,36,['Late Aircraft (3925 min)', 'NAS (3300 min)', 'Carrier (1537 min)']
ACT,4,56,8,3,['Weather (433 min)', 'Carrier (181 min)', 'Late Aircraft (119 min)']
ACT,8,61,8,3,['Late Aircraft (340 min)', 'Carrier (229 min)', 'NAS (124 min)']
ACT,12,43,10,11,['Carrier (1526 min)', 'Weather (263 min)', 'NAS (161 min)']
ACV,3,75,17,11,['Carrier (1407 min)', 'NAS (946 min)', 'Late Aircraft (599 min)']
ACV,8,88,14,8,['Late Aircraft (755 min)', 'Weather (667 min)', 'NAS (463 min)']
ACY,2,153,21,13,['NAS (1104 min)', 'Carrier (825 min)', 'Late Aircraft (714 min)']
ACY,6,133,24,26,['Carrier (1546 min)', 'NAS (1342 min)', 'Late Aircraft (878 min)']
ACY,7,127,26,17,['Carrier (1576 min)', 'Late Aircraft (1211 min)', 'NAS (873 min)']
ACY,10,125,12,5,['Late Aircraft (589 min)', 'Carrier (218 min)', 'NAS (144 min)']
ADK,6,4,0,0,['Carrier (0 min)', 'Weather (0 min)', 'NAS (0 min)']
ADK,7,5,2,0,['Late Aircraft (43 min)', 'Security (26 min)', 'NAS (4 min)']
ADQ,2,35,4,1,['Late Aircraft (244 min)', 'Weather (71 min)', 'NAS (15 min)']
ADQ,3,35,6,3,['Late Aircraft (369 min)', 'Weather (27 min)', 'NAS (22 min)']
ADQ,11,36,11,2,['Carrier (810 min)', 'Late Aircraft (143 min)', 'Weather (110 min)']
ADQ,12,40,3,2,['Late Aircraft (496 min)', 'NAS (109 min)', 'Carrier (17 min)']
AEX,6,107,7,11,['Carrier (1898 min)', 'NAS (320 min)', 'Late Aircraft (264 min)']
AEX,8,122,7,12,['Carrier (1400 min)', 'Late Aircraft (512 min)', 'NAS (100 min)']
AEX,11,107,9,10,['Carrier (1071 min)', 'Late Aircraft (329 min)', 'Weather (203 min)']
AGS,1,111,25,33,['Carrier (3066 min)', 'Late Aircraft (1517 min)', 'NAS (1028 min)']
AGS,4,262,52,25,['Late Aircraft (1692 min)', 'Carrier (1465 min)', 'NAS (675 min)']
AGS,5,193,20,26,['Carrier (2197 min)', 'Late Aircraft (1927 min)', 'NAS (731 min)']
AKN,5,13,1,0,['NAS (20 min)', 'Carrier (0 min)', 'Weather (0 min)']
ALB,6,602,106,58,['Late Aircraft (4592 min)', 'Carrier (4518 min)', 'NAS (2844 min)']
ALB,10,645,94,19,['Carrier (2145 min)', 'Late Aircraft (1590 min)', 'NAS (483 min)']
ALB,12,528,97,78,['Carrier (7728 min)', 'Late Aircraft (6610 min)', 'NAS (2447 min)']
ALW,2,40,0,2,['Late Aircraft (182 min)', 'NAS (170 min)', 'Carrier (0 min)']
ALW,4,47,0,1,['Late Aircraft (74 min)', 'Carrier (17 min)', 'Weather (0 min)']
AMA,2,252,24,8,['NAS (660 min)', 'Carrier (474 min)', 'Late Aircraft (330 min)']
AMA,6,257,49,29,['Late Aircraft (2907 min)', 'Weather (1318 min)', 'Carrier (1056 min)']
AMA,11,252,26,17,['Carrier (1304 min)', 'Late Aircraft (905 min)', 'NAS (865 min)']
ANC,2,674,71,35,['Carrier (6500 min)', 'Late Aircraft (1728 min)', 'NAS (1383 min)']
ANC,3,710,115,54,['Carrier (4870 min)', 'Late Aircraft (4003 min)', 'NAS (1117 min)']
ANC,8,1271,243,61,['Carrier (9796 min)', 'Late Aircraft (6932 min)', 'NAS (1740 min)']
ANC,10,791,81,42,['Carrier (3537 min)', 'Weather (2396 min)', 'NAS (1999 min)']
ANC,11,712,85,18,['Carrier (1771 min)', 'Late Aircraft (1323 min)', 'NAS (946 min)']
APN,2,22,1,5,['Carrier (365 min)', 'Weather (208 min)', 'NAS (55 min)']
APN,6,31,2,8,['Carrier (1228 min)', 'Weather (809 min)', 'NAS (11 min)']
APN,7,28,4,4,['Carrier (806 min)', 'Security (23 min)', 'NAS (16 min)']
APN,11,33,3,2,['Carrier (352 min)', 'NAS (37 min)', 'Weather (0 min)']
ASE,1,364,141,102,['Carrier (7380 min)', 'Late Aircraft (6288 min)', 'Weather (4395 min)']
ASE,3,347,168,134,['Weather (8406 min)', 'Late Aircraft (7490 min)', 'Carrier (6751 min)']
ASE,7,383,68,49,['Weather (3914 min)', 'Late Aircraft (3336 min)', 'Carrier (2926 min)']
ATL,8,17315,3009,1474,['Carrier (133183 min)', 'Late Aircraft (80219 min)', 'NAS (70471 min)']
ATL,11,18080,2145,631,['Carrier (67359 min)', 'Late Aircraft (36331 min)', 'NAS (33164 min)']
ATW,5,304,33,41,['Carrier (2877 min)', 'Late Aircraft (2226 min)', 'Weather (2039 min)']
ATW,11,336,36,36,['Carrier (3961 min)', 'Weather (2080 min)', 'Late Aircraft (1235 min)']
AUS,6,3969,1111,508,['Late Aircraft (48723 min)', 'Carrier (37773 min)', 'NAS (14959 min)']
AUS,11,4245,544,222,['Late Aircraft (18540 min)', 'Carrier (12327 min)', 'NAS (10435 min)']
AVL,2,483,34,17,['Carrier (2336 min)', 'Late Aircraft (2041 min)', 'Weather (1278 min)']
AVP,1,57,6,14,['Late Aircraft (1788 min)', 'Carrier (1393 min)', 'Weather (1164 min)']
AVP,5,67,22,17,['Late Aircraft (1877 min)', 'Carrier (736 min)', 'NAS (401 min)']
AVP,6,80,16,9,['Late Aircraft (653 min)', 'Weather (400 min)', 'NAS (271 min)']
AVP,8,77,17,14,['Late Aircraft (1713 min)', 'Carrier (974 min)', 'NAS (487 min)']
