aeroporto_partenza,compagnia,numero_voli,ritardo_medio_partenza,ritardo_medio_arrivo,tasso_cancellazione,differenza,classifica
ABE,9E,706,10.53,3.57,1.4,-3.7,1
ABE,G4,1235,11.59,6.12,1.5,-2.64,2
ABE,OH,758,18.21,9.47,1.6,3.98,3
ABE,OO,213,28.26,22.67,5.2,14.03,4
ABI,MQ,1340,7.27,4.47,0.7,0.0,1
ABQ,AA,2244,17.24,14.58,1.9,8.18,8
ABQ,AS,311,6.78,4.09,1.3,-2.28,5
ABQ,B6,171,45.59,42.36,2.3,36.53,9
ABQ,DL,1112,2.01,-4.7,1.1,-7.05,2
ABQ,MQ,661,4.4,2.66,0.6,-4.66,3
ABQ,NK,414,9.8,6.11,1.0,0.74,6
ABQ,OO,2965,1.75,-1.95,0.5,-7.31,1
ABQ,UA,1391,6.28,0.67,1.1,-2.78,4
ABQ,WN,8648,10.52,4.44,0.5,1.46,7
ABR,OO,524,20.91,13.63,0.8,0.0,1
ABY,9E,27,11.96,6.11,0.0,-6.14,1
ABY,OO,557,18.4,17.68,0.9,0.3,2
ACK,B6,704,13.1,10.36,3.3,-1.14,1
ACK,MQ,14,26.43,28.21,0.0,12.19,3
ACK,OO,17,34.75,23.0,5.9,20.51,4
ACK,YX,449,14.92,16.29,8.7,0.68,2
ACT,MQ,264,19.32,18.85,1.5,2.68,2
ACT,OO,575,15.4,15.2,2.6,-1.24,1
ACV,OO,1293,21.89,20.27,1.9,0.0,1
ACY,NK,2185,11.05,5.08,1.9,0.0,1
ADK,AS,63,10.54,9.96,9.5,0.0,1
ADQ,AS,603,1.97,0.68,1.5,0.0,1
AEX,9E,633,13.87,8.92,0.6,-2.14,1
AEX,MQ,27,27.11,27.15,0.0,11.1,3
AEX,OO,793,17.35,13.58,2.6,1.34,2
AGS,9E,1207,11.68,6.19,2.2,-4.53,2
AGS,AA,16,32.13,30.38,0.0,15.92,7
AGS,DL,114,21.29,15.79,0.0,5.08,5
AGS,MQ,141,9.08,2.52,2.8,-7.13,1
AGS,OH,1142,18.81,17.58,3.1,2.6,4
AGS,OO,318,24.77,17.88,1.3,8.56,6
AGS,YX,24,13.79,3.38,0.0,-2.42,3
AKN,AS,116,-5.5,-2.04,0.9,0.0,1
ALB,9E,770,5.39,-3.82,2.6,-8.11,2
ALB,AA,1054,21.09,16.39,0.8,7.59,10
ALB,B6,531,20.43,16.06,1.3,6.93,9
ALB,DL,930,13.4,5.33,1.4,-0.1,7
ALB,G4,380,30.63,22.81,1.6,17.13,11
ALB,MQ,126,3.71,2.93,0.0,-9.79,1
ALB,OH,831,19.21,17.9,3.2,5.71,8
ALB,OO,598,6.65,3.05,0.3,-6.85,4
ALB,UA,537,7.03,4.83,1.5,-6.47,5
ALB,WN,2659,11.27,3.9,0.9,-2.23,6
ALB,YX,230,5.84,2.66,1.7,-7.66,3
ALW,OO,406,0.71,3.23,3.4,0.0,1
AMA,AA,154,16.37,15.83,2.6,6.89,4
AMA,MQ,1567,8.17,5.93,1.5,-1.31,1
AMA,OO,624,14.14,12.05,1.9,4.66,3
AMA,WN,1438,8.18,2.26,0.6,-1.3,2
ANC,AA,347,40.16,30.45,0.6,32.98,4
ANC,AS,10383,4.1,1.98,1.6,-3.08,1
ANC,DL,1598,16.21,9.02,0.9,9.03,3
ANC,UA,890,13.83,5.45,2.6,6.65,2
APN,OO,462,20.23,14.86,2.8,0.0,1
ASE,OO,5574,29.6,25.46,7.1,0.0,1
ATL,9E,20198,6.51,2.4,1.0,-4.53,1
ATL,AA,5677,20.2,16.59,1.8,9.16,9
ATL,AS,1015,9.95,6.44,2.2,-1.09,4
ATL,B6,2242,22.63,18.42,1.6,11.59,12
ATL,DL,169705,9.23,5.5,0.9,-1.81,3
ATL,F9,8612,25.95,21.89,2.6,14.91,13
ATL,MQ,495,12.56,10.06,1.6,1.52,5
ATL,NK,7543,20.55,13.98,1.9,9.51,10
ATL,OH,1787,17.08,14.46,1.6,6.04,8
ATL,OO,6134,20.8,17.41,0.9,9.76,11
ATL,UA,5409,13.72,8.69,1.7,2.68,7
ATL,WN,25025,12.68,6.67,0.7,1.64,6
ATL,YX,903,8.33,6.16,1.6,-2.71,2
ATW,9E,126,11.38,9.29,0.0,-6.45,2
ATW,DL,250,12.8,5.42,0.8,-5.03,3
ATW,G4,820,9.61,5.5,2.2,-8.22,1
ATW,MQ,526,17.84,11.69,1.5,0.01,4
ATW,OO,2704,21.09,18.0,2.1,3.26,5
AUS,9E,281,15.35,14.33,0.4,0.76,8
AUS,AA,10223,20.55,17.47,1.6,5.96,10
AUS,AS,2062,11.43,9.0,2.7,-3.16,3
AUS,B6,567,33.89,26.36,1.1,19.3,15
AUS,DL,8116,14.84,8.09,0.8,0.25,7
AUS,F9,510,21.7,18.38,2.0,7.11,12
AUS,G4,810,21.62,18.55,2.1,7.03,11
AUS,HA,132,24.87,28.93,0.8,10.28,14
AUS,MQ,1690,14.43,12.51,1.4,-0.16,6
AUS,NK,797,19.04,12.45,2.4,4.45,9
AUS,OH,17,11.59,4.53,0.0,-3.0,4
AUS,OO,2700,21.85,17.8,0.4,7.26,13
AUS,UA,7039,10.84,5.6,1.3,-3.75,2
AUS,WN,28044,11.97,5.92,0.7,-2.62,5
AUS,YX,88,2.39,-1.32,0.0,-12.2,1
AVL,9E,464,11.78,4.21,1.9,-5.26,4
AVL,AA,354,49.45,44.2,5.9,32.41,10
AVL,B6,59,27.16,26.24,1.7,10.12,9
AVL,DL,1639,13.75,5.35,2.7,-3.29,5
AVL,G4,2383,18.8,15.58,3.1,1.76,7
AVL,MQ,860,24.49,22.96,2.8,7.45,8
AVL,OH,1483,11.64,12.2,2.6,-5.4,3
AVL,OO,505,17.66,16.12,4.4,0.62,6
AVL,UA,145,10.67,5.47,3.4,-6.37,2
AVL,YX,814,9.78,5.4,4.8,-7.26,1
AVP,AA,600,20.43,15.93,1.5,1.48,3
AVP,MQ,339,14.5,10.43,1.5,-4.45,2
AVP,OH,160,24.18,12.42,1.9,5.23,4
AVP,OO,26,10.08,3.17,7.7,-8.87,1
AZA,G4,4147,5.78,1.08,0.7,0.0,1
AZO,9E,10,-2.2,-9.2,0.0,-14.61,1
AZO,OO,725,12.62,7.7,1.7,0.21,2
BDL,9E,263,8.12,2.42,2.7,-4.77,5
BDL,AA,2904,13.93,9.58,1.5,1.04,8
BDL,B6,2280,18.02,12.75,1.6,5.13,9
BDL,DL,2893,7.59,0.42,0.7,-5.3,4
BDL,F9,667,40.49,37.21,3.4,27.6,12
BDL,MQ,403,5.87,3.18,1.5,-7.02,2
BDL,NK,430,10.49,7.68,2.1,-2.4,6
BDL,OH,1049,19.8,15.67,2.7,6.91,10
BDL,OO,51,22.92,25.04,2.0,10.03,11
BDL,UA,1553,6.89,3.48,1.3,-6.0,3
BDL,WN,3019,10.98,3.57,0.6,-1.91,7
BDL,YX,358,0.05,-6.32,0.6,-12.84,1
BET,AS,558,7.55,11.07,1.3,0.0,1
BFF,OO,454,13.48,12.97,2.6,0.0,1
BFL,AA,702,12.29,8.17,0.9,4.49,3
BFL,MQ,236,2.23,-3.54,0.4,-5.57,1
BFL,OO,1016,6.0,0.2,0.5,-1.8,2
BGM,9E,275,13.58,9.48,3.6,0.0,1
BGR,9E,849,5.42,-1.4,3.9,-9.16,1
BGR,AA,454,23.7,22.68,2.0,9.12,6
BGR,G4,289,30.01,22.57,3.8,15.43,7
BGR,MQ,179,14.21,17.43,1.7,-0.37,3
BGR,OH,496,15.46,9.78,3.2,0.88,4
BGR,OO,105,18.23,19.13,1.0,3.65,5
BGR,YX,708,12.18,7.09,5.6,-2.4,2
BHM,9E,836,5.18,-1.44,3.9,-6.32,3
BHM,AA,286,27.76,25.9,2.1,16.26,10
BHM,DL,2198,5.69,0.67,1.0,-5.81,4
BHM,MQ,1832,9.71,6.39,1.1,-1.79,5
BHM,NK,52,12.46,14.52,0.0,0.96,6
BHM,OH,2850,15.61,12.81,1.3,4.11,8
BHM,OO,1169,15.99,12.02,0.8,4.49,9
BHM,UA,2,-7.5,-15.5,0.0,-19.0,1
BHM,WN,3205,12.47,7.47,0.8,0.97,7
BHM,YX,283,-0.71,-2.71,1.4,-12.21,2
BIH,OO,193,22.64,14.65,6.7,0.0,1
BIL,DL,585,5.4,2.63,1.7,-1.83,3
BIL,G4,261,22.24,21.26,1.1,15.01,5
BIL,MQ,685,13.76,12.85,0.4,6.53,4
BIL,OO,1004,2.72,0.15,0.7,-4.51,2
BIL,UA,528,1.91,-0.92,0.8,-5.32,1
BIS,9E,9,3.33,19.67,0.0,-10.75,1
BIS,DL,431,8.14,1.5,0.5,-5.94,2
BIS,G4,327,14.53,9.08,1.2,0.45,4
BIS,MQ,436,10.91,7.73,0.5,-3.17,3
BIS,OO,1571,16.57,11.76,1.1,2.49,5
BJI,OO,533,17.14,11.77,0.9,0.0,1
BLI,G4,680,2.68,-1.91,0.6,-5.1,1
BLI,OO,713,11.67,13.0,0.8,3.89,3
BLI,WN,471,9.27,2.3,0.4,1.49,2
BLV,G4,723,28.49,23.97,2.8,0.0,1
BMI,9E,548,8.54,1.39,1.1,-3.82,1
BMI,F9,44,13.48,19.77,0.0,1.12,3
BMI,G4,185,30.54,27.62,1.6,18.18,4
BMI,MQ,499,9.74,5.53,1.4,-2.62,2
BNA,9E,895,24.26,20.85,3.4,12.36,14
BNA,AA,6253,20.87,19.24,2.2,8.97,13
BNA,AS,797,7.5,-0.03,1.3,-4.4,3
BNA,B6,972,17.16,12.23,1.4,5.26,10
BNA,DL,6138,4.94,-0.47,0.9,-6.96,2
BNA,F9,540,19.14,19.84,1.7,7.24,11
BNA,G4,2136,13.3,8.78,1.7,1.4,8
BNA,MQ,1861,11.46,9.61,2.3,-0.44,5
BNA,NK,2730,20.58,12.36,3.2,8.68,12
BNA,OH,1740,11.72,10.11,2.1,-0.18,6
BNA,OO,3011,15.24,11.93,1.7,3.34,9
BNA,UA,4544,12.24,8.06,1.6,0.34,7
BNA,WN,37958,11.1,4.12,0.8,-0.8,4
BNA,YX,4235,3.68,1.72,1.2,-8.22,1
BOI,AA,648,12.33,8.21,1.4,5.49,8
BOI,AS,466,4.86,4.81,0.6,-1.98,1
BOI,DL,2042,9.06,3.49,1.0,2.22,7
BOI,G4,258,32.42,31.5,1.2,25.58,9
BOI,MQ,213,7.09,3.04,0.5,0.25,4
BOI,NK,393,8.22,4.22,2.0,1.38,6
BOI,OO,8328,5.12,3.85,0.4,-1.72,2
BOI,UA,1006,7.61,3.01,1.5,0.77,5
BOI,WN,3544,6.63,0.19,0.3,-0.21,3
BOS,9E,5,-3.4,-16.0,0.0,-16.82,1
BOS,AA,11405,16.87,9.51,1.6,3.45,11
BOS,AS,1761,14.03,9.47,1.8,0.61,7
BOS,B6,28920,16.18,10.64,1.5,2.76,10
BOS,DL,17441,14.08,6.64,1.1,0.66,9
BOS,F9,1082,18.55,16.15,2.7,5.13,12
BOS,G4,343,6.08,1.62,3.5,-7.34,3
BOS,HA,156,14.05,11.95,0.6,0.63,8
BOS,MQ,1339,13.66,8.1,1.7,0.24,5
BOS,NK,4918,23.25,15.99,3.5,9.83,13
BOS,UA,8685,11.54,5.68,1.8,-1.88,4
BOS,WN,4871,13.91,5.06,0.9,0.49,6
BOS,YX,18896,4.5,0.44,1.7,-8.92,2
BPT,MQ,151,17.6,13.57,2.0,8.36,2
BPT,OO,370,5.81,1.27,2.4,-3.43,1
BQK,9E,105,8.61,9.47,0.0,-8.34,1
BQK,OO,502,18.7,20.54,0.4,1.75,2
BQN,B6,1157,15.71,12.65,1.5,-3.48,1
BQN,F9,331,26.12,16.86,1.2,6.93,2
BQN,UA,250,26.23,17.87,3.2,7.04,3
BRD,OO,456,11.28,7.57,0.7,0.0,1
BRO,MQ,909,5.82,3.75,1.4,-3.33,1
BRO,OO,526,15.0,12.02,3.2,5.85,2
BRW,AS,277,7.85,9.49,4.7,0.0,1
BTM,OO,383,1.47,-4.6,0.0,0.0,1
BTR,9E,367,9.02,4.97,1.9,-3.84,2
BTR,DL,661,7.05,0.44,1.2,-5.81,1
BTR,MQ,746,13.38,11.56,2.3,0.52,3
BTR,OH,1426,15.8,12.48,1.8,2.94,5
BTR,OO,432,14.37,11.21,3.2,1.51,4
BTR,UA,4,24.0,24.0,0.0,11.14,6
BTV,9E,1262,10.67,3.57,2.9,-0.25,7
BTV,AA,527,15.34,10.16,1.1,4.42,9
BTV,B6,4,4.75,2.0,0.0,-6.17,1
BTV,DL,340,7.05,1.35,2.1,-3.87,3
BTV,F9,9,7.22,7.67,0.0,-3.7,4
BTV,G4,2,38.0,15.0,50.0,27.08,11
BTV,MQ,238,10.47,13.19,1.7,-0.45,6
BTV,OH,1211,17.33,14.28,2.2,6.41,10
BTV,OO,188,12.99,7.39,0.0,2.07,8
BTV,UA,826,7.62,7.46,1.7,-3.3,5
BTV,YX,1076,5.33,0.08,2.4,-5.59,2
BUF,9E,1355,9.57,2.07,3.2,-2.05,3
BUF,AA,1614,17.47,15.42,1.3,5.85,9
BUF,B6,2525,11.35,7.84,2.2,-0.27,7
BUF,DL,1567,9.64,2.53,1.1,-1.98,4
BUF,F9,757,24.33,21.07,4.9,12.71,11
BUF,MQ,363,6.03,2.14,0.8,-5.59,1
BUF,OH,667,18.13,17.69,2.8,6.51,10
BUF,OO,571,16.8,11.25,1.9,5.18,8
BUF,UA,749,10.91,9.89,1.9,-0.71,6
BUF,WN,3912,9.83,2.79,1.8,-1.79,5
BUF,YX,2007,6.56,2.57,3.7,-5.06,2
BUR,AA,880,12.28,7.97,1.0,2.88,5
BUR,AS,1667,3.89,2.79,2.2,-5.51,1
BUR,B6,232,54.46,49.89,1.7,45.06,10
BUR,DL,334,24.03,18.41,0.6,14.63,9
BUR,F9,52,13.37,19.27,0.0,3.97,7
BUR,MQ,36,6.78,-2.97,0.0,-2.62,2
BUR,NK,1412,15.2,12.35,1.6,5.8,8
BUR,OO,3009,11.21,9.47,0.8,1.81,4
BUR,UA,1175,12.87,9.91,1.8,3.47,6
BUR,WN,13872,7.48,0.38,1.1,-1.92,3
BWI,9E,347,23.85,18.44,6.6,8.08,12
BWI,AA,2702,16.69,11.04,1.9,0.92,10
BWI,AS,415,15.89,11.86,2.2,0.12,8
BWI,B6,167,6.86,3.97,2.4,-8.91,4
BWI,DL,3842,9.48,2.6,0.7,-6.29,7
BWI,F9,2073,29.96,28.04,3.5,14.19,14
BWI,G4,112,27.91,21.92,1.8,12.14,13
BWI,MQ,376,3.95,-0.94,1.3,-11.82,2
BWI,NK,4775,17.19,10.6,1.9,1.42,11
BWI,OH,26,6.88,4.42,0.0,-8.89,5
BWI,OO,7,-5.0,-11.43,0.0,-20.77,1
BWI,UA,2539,6.66,2.04,2.0,-9.11,3
BWI,WN,54430,16.07,9.12,0.9,0.3,9
BWI,YX,673,8.32,4.21,1.2,-7.45,6
BZN,AA,677,25.58,23.0,0.4,14.5,8
BZN,AS,472,5.08,6.82,1.1,-6.0,1
BZN,B6,107,43.17,41.12,2.8,32.09,9
BZN,DL,1294,7.68,3.56,0.5,-3.4,3
BZN,G4,260,11.98,8.13,3.1,0.9,6
BZN,MQ,52,7.85,3.12,0.0,-3.23,4
BZN,OO,1403,5.83,3.23,0.6,-5.25,2
BZN,UA,1622,14.71,10.65,1.3,3.63,7
BZN,WN,1454,7.98,2.06,0.6,-3.1,5
CAE,9E,958,6.96,1.94,1.8,-2.34,4
CAE,AA,517,30.05,26.74,2.9,20.75,7
CAE,DL,1127,3.2,-4.45,0.6,-6.1,1
CAE,MQ,40,3.45,2.28,0.0,-5.85,2
CAE,OH,1660,9.62,9.35,1.4,0.32,5
CAE,OO,544,3.66,2.92,0.7,-5.64,3
CAE,YX,254,15.05,12.1,5.1,5.75,6
CAK,G4,528,19.05,13.99,2.5,3.34,2
CAK,OH,1199,10.75,8.79,0.8,-4.96,1
CAK,OO,768,21.28,20.55,2.1,5.57,3
CDC,OO,471,4.7,-0.64,0.6,0.0,1
CDV,AS,520,1.84,0.72,2.1,0.0,1
CHA,9E,1136,9.94,4.2,0.8,-3.0,2
CHA,DL,915,10.08,1.72,1.0,-2.86,3
CHA,G4,182,29.73,27.19,3.8,16.79,7
CHA,MQ,925,15.49,11.78,2.1,2.55,6
CHA,OH,1035,13.81,10.62,0.9,0.87,5
CHA,OO,705,13.74,13.23,2.0,0.8,4
CHA,YX,103,6.08,6.09,0.0,-6.86,1
CHO,9E,1283,10.48,4.3,3.0,-0.48,3
CHO,DL,182,11.16,0.85,0.0,0.2,4
CHO,OH,47,-6.04,-2.4,0.0,-17.0,1
CHO,OO,466,17.33,17.7,2.4,6.37,5
CHO,YX,363,6.61,8.46,2.8,-4.35,2
CHS,9E,1478,10.23,4.18,4.5,-0.99,5
CHS,AA,3614,15.54,12.59,1.9,4.32,10
CHS,AS,234,5.55,2.56,3.0,-5.67,2
CHS,B6,1362,17.67,13.33,1.8,6.45,13
CHS,DL,2914,10.75,5.57,0.8,-0.47,8
CHS,F9,132,16.01,11.8,2.3,4.79,11
CHS,G4,158,15.21,14.14,3.8,3.99,9
CHS,MQ,665,10.28,6.62,2.1,-0.94,6
CHS,NK,941,17.77,12.22,3.4,6.55,14
CHS,OH,1258,7.52,5.64,2.0,-3.7,3
CHS,OO,277,16.02,14.5,1.1,4.8,12
CHS,UA,1635,10.45,6.41,1.5,-0.77,7
CHS,WN,2607,7.9,2.88,0.8,-3.32,4
CHS,YX,1661,2.98,-1.29,1.5,-8.24,1
CID,9E,120,0.98,-3.17,0.0,-13.75,1
CID,AA,910,30.5,25.8,3.8,15.77,10
CID,DL,278,17.0,13.42,1.8,2.27,9
CID,F9,187,12.74,11.24,1.6,-1.99,6
